Configuration,Zwitteriónica
0,F
1,T
2,T
3,F
4,F
5,F
6,T
7,F
8,F
9,F
10,T
11,T
12,F
13,F
14,T
15,T
16,T
17,F
18,F
19,T
20,T
21,F
22,T
23,F
24,T
25,T
26,F
27,F
28,F
29,T
30,F
31,F
32,F
33,F
34,T
35,F
36,F
37,T
38,T
39,F
40,F
41,F
42,F
43,T
44,F
45,F
46,T
47,T
48,T
49,F
50,F
51,F
52,T
53,F
54,F
55,T
56,F
57,T
58,F
59,F
60,T
61,T
62,F
63,F
