Configuration,Zwitteriónica
0,F
1,T
2,T
3,T
4,F
5,F
6,T
7,F
8,T
9,F
10,T
11,F
12,F
13,F
14,F
15,T
16,T
17,F
18,T
19,F
20,T
21,F
22,F
23,F
24,F
25,F
26,T
27,F
28,T
29,T
30,F
31,F
32,F
33,F
34,T
35,F
36,T 
37,T
38,F
39,T
40,F
41,F
42,F
43,F
44,T
45,F
46,T
47,F
48,T
49,F
50,F
51,F
52,F
53,T
54,F
55,T 
56,F
57,F
58,T
59,F 
60,F 
61,F
62,T
63,F 
