Configuration,Zwitteriónica
0,F
1,F
2,T
3,F
4,F
5,F
6,T
7,F
8,F
9,T
10,F
11,T
12,F
13,F
14,F
15,T
16,F
17,F
18,F
19,F
20,T
21,F
22,T
23,F
24,F
25,T
26,F
27,F
28,F
29,T
30,F
31,F
32,T
33,T
34,T
35,F
36,T
37,F
38,T
39,T
40,F
41,F
42,F
43,T
44,T
45,F
46,T
47,T
48,T
49,T
50,F
51,T
52,T
53,T
54,T
55,T
56,F
57,T
58,F
59,F
60,F
61,F
62,T
63,F
