Configuration,Zwitteriónica
0,F
1,T
2,T
3,T
4,F
5,T
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,F
14,T
15,T
16,T
17,T
18,F
19,T
20,T
21,F
22,T
23,T
24,T
25,T
26,T
27,F
28,T
29,T
30,F
31,F
32,T
33,F
34,T
35,T
36,T
37,T
38,T
39,F
40,T
41,T
42,F
43,T
44,F
45,T
46,T
47,T
48,T
49,T
50,T
51,F
52,T
53,F
54,T
55,T
56,T
57,T
58,F
59,F
60,T
61,T
62,F
63,T
